gtfs_route_id,route_name_display,data_note,route_category,cost_effectiveness_rank,crowding_metric,reliability_metric,span_of_service_metric,frequency_metric,perc_low_income_riders,perc_minority_riders,perc_vulnerable_fare_riders,perc_1_ride_journeys,perc_2_ride_journeys,perc_3_ride_journeys,perc_4more_ride_journeys,average_daily_boardings
23,23,,Key Bus,54,0.941,0.723853,Pass,Pass,,,45%,75.50%,18.60%,4.92%,0.99%,12455.08159
83,83,,Local,55,0.9965,0.631425,Pass,Pass,,,25%,77.85%,16.67%,4.24%,1.24%,1731.080092
106,106,,Local,56,0.9736,0.551688,Pass,Pass,,,18%,68.84%,20.94%,8.26%,1.97%,3527.815334
22,22,,Key Bus,57,0.9552,0.735657,Pass,Fail,,,39%,74.97%,18.95%,5.07%,1.02%,8739.014127
44,44,,Local,58,0.9883,0.586594,Pass,Pass,,,38%,71.44%,21.31%,6.16%,1.10%,3544.362458
110,110,,Local,59,0.9274,0.573156,Pass,Pass,,,16%,71.95%,18.87%,6.73%,2.45%,3781.139486
68,68,,Local,60,1,0.701178,Fail,Fail,,,27%,83.14%,12.13%,3.16%,1.57%,356.7092061
119,119,,Local,61,0.9965,0.63651,Pass,Fail,,,19%,79.69%,12.97%,4.48%,2.86%,1152.853394
503,503,,Commuter,62,0.9824,0.724924,Pass,Pass,,,13%,89.28%,6.35%,3.96%,0.41%,422.2900767
411,411,,Local,63,0.9237,0.439375,Pass,Fail,,,19%,69.20%,21.36%,7.44%,1.99%,1134.423546
51,51,,Local,64,0.988,0.571398,Fail,Pass,,,23%,68.37%,25.30%,5.13%,1.20%,1612.633912
36,36,,Local,65,0.9548,0.616562,Pass,Pass,,,33%,68.94%,23.49%,6.56%,1.01%,3451.495667
87,87,,Local,66,0.9494,0.610978,Pass,Pass,,,18%,78.47%,15.57%,5.07%,0.89%,3982.014901
35,35,,Local,67,0.9533,0.566666,Pass,Pass,,,31%,66.68%,25.64%,6.78%,0.91%,2211.558659
211,211,,Local,68,0.9998,0.475008,Pass,Pass,,,31%,68.15%,21.41%,9.26%,1.18%,831.9216928
,57/57A,,,69,,,,,,,,,,,,
45,45,,Local,70,0.9749,0.59044,Pass,Pass,,,38%,72.02%,21.45%,5.54%,0.99%,3489.556136
132,132,,Local,71,0.9571,0.753823,Pass,Fail,,,11%,66.55%,23.69%,8.41%,1.35%,968.3197755
31,31,,Local,72,0.9404,0.75631,Pass,Pass,,,32%,66.85%,26.52%,5.53%,1.10%,6479.778494
109,109,,Local,73,0.8717,0.589031,Pass,Pass,,,18%,67.23%,21.70%,8.81%,2.26%,3889.978408
37,37,,Local,74,0.9422,0.597883,Pass,Pass,,,25%,64.94%,26.81%,7.13%,1.13%,1377.900766
38,38,,Local,76,0.9612,0.625835,Pass,Pass,,,27%,76.16%,18.77%,4.32%,0.74%,787.9286412
14,14,,Local,77,0.9907,0.393901,Pass,Fail,,,51%,81.22%,15.79%,2.36%,0.64%,1328.636873
29,29,,Local,78,0.9899,0.453685,Pass,Fail,,,38%,73.21%,19.40%,6.09%,1.31%,2058.282855
90,90,,Local,79,0.9923,0.653245,Fail,Fail,,,18%,74.16%,19.22%,5.44%,1.18%,792.143697
430,430,,Local,80,0.9602,0.513725,Pass,Fail,,,22%,69.34%,19.85%,8.55%,2.27%,1044.882286
9,9,,Local,81,0.8361,0.651008,Pass,Pass,,,17%,77.87%,16.42%,4.24%,1.46%,3338.347329
111,111,,Key Bus,82,0.8109,0.77263,Pass,Pass,,,15%,76.67%,13.05%,8.97%,1.31%,12557.87614
131,131,,Commuter,83,0.9729,0.569006,Pass,Pass,,,11%,63.54%,29.49%,6.06%,0.91%,572.0838357
210,210,,Local,84,1,0.512091,Pass,Fail,,,35%,72.90%,19.89%,5.69%,1.52%,699.5645012
79,79,,Local,85,0.9427,0.594252,Pass,Pass,,,27%,73.90%,20.09%,5.25%,0.76%,1013.824842
41,41,,Local,86,0.9969,0.35271,Pass,Pass,,,37%,79.12%,16.34%,3.73%,0.80%,2275.188975
94,94,,Local,87,0.9425,0.698802,Pass,Pass,,,15%,64.47%,27.35%,6.83%,1.34%,1777.04706
236,236,,Local,88,0.9973,0.497895,Fail,Fail,,,20%,66.13%,21.73%,9.38%,2.76%,741.7206177
245,245,,Local,89,0.9962,0.547615,Pass,Fail,,,23%,68.33%,25.30%,5.43%,0.94%,458.5415448
65,65,,Local,90,0.8156,0.685025,Pass,Pass,,,14%,89.45%,8.13%,1.83%,0.58%,2321.647964
10,10,,Local,91,0.9976,0.540091,Pass,Pass,,,36%,75.07%,17.64%,5.84%,1.45%,2661.031993
86,86,,Local,92,0.9202,0.565584,Pass,Pass,,,11%,75.79%,20.11%,3.49%,0.61%,6606.148886
100,100,,Local,93,0.9958,0.706666,Pass,Pass,,,11%,66.97%,22.39%,8.90%,1.73%,906.1547036
